,Team Name,Player Name,Goals Scored,Unnamed: 0,Year,Team Initials,Home Team Goals,Away Team Goals,Total_goals
215,Morocco,Salaheddine BASSIR,2,128,1970.0,MAR,0.0,2.0,2.0
216,Morocco,Salaheddine BASSIR,2,209,1986.0,MAR,0.0,3.0,3.0
217,Morocco,Salaheddine BASSIR,2,256,1994.0,MAR,1.0,1.0,2.0
218,Morocco,Salaheddine BASSIR,2,286,1998.0,MAR,2.0,3.0,5.0
219,Netherlands,Willy VAN DE KERKHOF,7,23,1934.0,NLD,0.0,2.0,2.0
220,Netherlands,Willy VAN DE KERKHOF,7,37,1938.0,NLD,0.0,0.0,0.0
221,Netherlands,Willy VAN DE KERKHOF,7,146,1974.0,NLD,7.0,8.0,15.0
222,Netherlands,Willy VAN DE KERKHOF,7,164,1978.0,NLD,10.0,5.0,15.0
223,Netherlands,Willy VAN DE KERKHOF,7,232,1990.0,NLD,1.0,2.0,3.0
224,Netherlands,Willy VAN DE KERKHOF,7,258,1994.0,NLD,6.0,2.0,8.0
225,Netherlands,Willy VAN DE KERKHOF,7,288,1998.0,NLD,12.0,1.0,13.0
226,Netherlands,Willy VAN DE KERKHOF,7,351,2006.0,NLD,2.0,1.0,3.0
227,Netherlands,Willy VAN DE KERKHOF,7,382,2010.0,NLD,7.0,5.0,12.0
228,Netherlands,Willy VAN DE KERKHOF,7,420,2014.0,NLD,6.0,14.0,20.0
229,New Zealand,Steve WOODDIN,1,186,1982.0,NZL,0.0,2.0,2.0
230,New Zealand,Steve WOODDIN,1,384,2010.0,NZL,1.0,1.0,2.0
231,Nigeria,YEKINI,2,259,1994.0,NGA,4.0,3.0,7.0
232,Nigeria,YEKINI,2,289,1998.0,NGA,3.0,3.0,6.0
233,Nigeria,YEKINI,2,317,2002.0,NGA,0.0,1.0,1.0
234,Nigeria,YEKINI,2,383,2010.0,NGA,2.0,1.0,3.0
235,Nigeria,YEKINI,2,421,2014.0,NGA,3.0,0.0,3.0
236,Norway,H. FLO,1,38,1938.0,NOR,0.0,1.0,1.0
237,Norway,H. FLO,1,260,1994.0,NOR,1.0,0.0,1.0
238,Norway,H. FLO,1,290,1998.0,NOR,0.0,5.0,5.0
239,Paraguay,VERA,2,7,1930.0,PRY,1.0,0.0,1.0
240,Paraguay,VERA,2,51,1950.0,PRY,0.0,2.0,2.0
241,Paraguay,VERA,2,82,1958.0,PRY,6.0,3.0,9.0
242,Paraguay,VERA,2,212,1986.0,PRY,3.0,1.0,4.0
243,Paraguay,VERA,2,291,1998.0,PRY,0.0,3.0,3.0
244,Paraguay,VERA,2,318,2002.0,PRY,2.0,4.0,6.0
245,Paraguay,VERA,2,352,2006.0,PRY,2.0,0.0,2.0
246,Paraguay,VERA,2,385,2010.0,PRY,0.0,3.0,3.0
247,Peru,Teofilo CUBILLAS,7,8,1930.0,PER,0.0,1.0,1.0
248,Peru,Teofilo CUBILLAS,7,130,1970.0,PER,6.0,3.0,9.0
249,Peru,Teofilo CUBILLAS,7,165,1978.0,PER,7.0,0.0,7.0
250,Peru,Teofilo CUBILLAS,7,187,1982.0,PER,0.0,2.0,2.0
251,Poland,Zbigniew BONIEK,10,39,1938.0,POL,0.0,5.0,5.0
252,Poland,Zbigniew BONIEK,10,147,1974.0,POL,7.0,9.0,16.0
253,Poland,Zbigniew BONIEK,10,166,1978.0,POL,5.0,1.0,6.0
254,Poland,Zbigniew BONIEK,10,188,1982.0,POL,11.0,0.0,11.0
255,Poland,Zbigniew BONIEK,10,213,1986.0,POL,1.0,0.0,1.0
256,Poland,Zbigniew BONIEK,10,319,2002.0,POL,3.0,0.0,3.0
257,Poland,Zbigniew BONIEK,10,353,2006.0,POL,0.0,2.0,2.0
258,Portugal,TIAGO,4,116,1966.0,PRT,16.0,1.0,17.0
259,Portugal,TIAGO,4,214,1986.0,PRT,2.0,0.0,2.0
260,Portugal,TIAGO,4,320,2002.0,PRT,4.0,2.0,6.0
261,Portugal,TIAGO,4,354,2006.0,PRT,5.0,2.0,7.0
262,Portugal,TIAGO,4,386,2010.0,PRT,7.0,0.0,7.0
263,Portugal,TIAGO,4,422,2014.0,PRT,2.0,2.0,4.0
264,Romania,Viorel MOLDOVAN,4,9,1930.0,ROU,3.0,0.0,3.0
265,Romania,Viorel MOLDOVAN,4,24,1934.0,ROU,0.0,1.0,1.0
266,Romania,Viorel MOLDOVAN,4,40,1938.0,ROU,0.0,4.0,4.0
267,Romania,Viorel MOLDOVAN,4,131,1970.0,ROU,2.0,2.0,4.0
268,Romania,Viorel MOLDOVAN,4,233,1990.0,ROU,0.0,4.0,4.0
269,Romania,Viorel MOLDOVAN,4,261,1994.0,ROU,6.0,4.0,10.0
270,Romania,Viorel MOLDOVAN,4,292,1998.0,ROU,4.0,0.0,4.0
271,Russia,TITOV,4,262,1994.0,RUS,6.0,1.0,7.0
272,Russia,TITOV,4,322,2002.0,RUS,2.0,2.0,4.0
273,Russia,TITOV,4,423,2014.0,RUS,1.0,1.0,2.0
274,Saudi Arabia,YASSER,2,255,1994.0,SAU,3.0,2.0,5.0
275,Saudi Arabia,YASSER,2,285,1998.0,SAU,0.0,2.0,2.0
276,Saudi Arabia,YASSER,2,315,2002.0,SAU,0.0,0.0,0.0
277,Saudi Arabia,YASSER,2,349,2006.0,SAU,0.0,2.0,2.0
278,Scotland,Stuart McCALL,3,67,1954.0,SCT,0.0,0.0,0.0
279,Scotland,Stuart McCALL,3,83,1958.0,SCT,0.0,4.0,4.0
280,Scotland,Stuart McCALL,3,148,1974.0,SCT,1.0,2.0,3.0
