League,Team,Season,Player
italy,Lazio,2015,stefan de vrij
italy,Lazio,2015,stefano mauri
england,Leicester City,2015,andy king
england,Leicester City,2015,anthony knockaert
england,Leicester City,2015,ben hamer
england,Leicester City,2015,chris wood
england,Leicester City,2015,danny simpson
england,Leicester City,2015,david nugent
england,Leicester City,2015,esteban cambiasso
england,Leicester City,2015,jamie vardy
england,Leicester City,2015,jeffrey schlupp
england,Leicester City,2015,kasper schmeichel
england,Leicester City,2015,leonardo ulloa
england,Leicester City,2015,liam moore
england,Leicester City,2015,marc albrighton
england,Leicester City,2015,ritchie de laet
england,Leicester City,2015,riyad mahrez
england,Leicester City,2015,stephen ward
england,Leicester City,2015,wes morgan
france,Lens,2015,ahmed kantari
france,Lens,2015,baptiste guillaume
france,Lens,2015,benjamin bourigeaud
france,Lens,2015,ludovic baal
france,Lens,2015,mouhamadou dabo
france,Lens,2015,pierrick valdivia
france,Lens,2015,wylan cyprien
france,Lens,2015,yassine benzia
france,Lens,2015,yoann touzghar
spain,Levante,2015,david navarro
spain,Levante,2015,morales
spain,Levante,2015,nabil el zhar
spain,Levante,2015,rafael martins
france,Lille,2015,david rozehnal
france,Lille,2015,divock origi
france,Lille,2015,florent balmont
france,Lille,2015,idrissa gueye
france,Lille,2015,jonathan delaplace
france,Lille,2015,joris marveaux
france,Lille,2015,marcos lopes
france,Lille,2015,marvin martin
france,Lille,2015,michael frey
france,Lille,2015,nolan roux
france,Lille,2015,rio mavuba
france,Lille,2015,ronny rodelin
france,Lille,2015,ryan mendes
france,Lille,2015,salomon kalou
france,Lille,2015,vincent enyeama
england,Liverpool,2015,adam lallana
england,Liverpool,2015,alberto moreno
england,Liverpool,2015,daniel sturridge
england,Liverpool,2015,dejan lovren
england,Liverpool,2015,emre can
england,Liverpool,2015,fabio borini
england,Liverpool,2015,glen johnson
england,Liverpool,2015,joe allen
england,Liverpool,2015,joe hart
england,Liverpool,2015,jordan henderson
england,Liverpool,2015,lloyd isgrove
england,Liverpool,2015,lucas leiva
england,Liverpool,2015,mamadou sakho
england,Liverpool,2015,mario balotelli
england,Liverpool,2015,raheem sterling
england,Liverpool,2015,rickie lambert
england,Liverpool,2015,simon mignolet
france,Lorient,2015,benjamin jeannot
france,Lorient,2015,benjamin lecomte
france,Lorient,2015,gilles sunu
france,Lorient,2015,jordan ayew
france,Lorient,2015,lamine gassama
france,Lorient,2015,mathieu coutadeur
france,Lorient,2015,mehdi mostefa
france,Lorient,2015,pedrinho
france,Lorient,2015,rafidine abdullah
france,Lorient,2015,sadio diallo
france,Lorient,2015,valentin lavigne
france,Lorient,2015,vincent aboubakar
france,Lorient,2015,vincent le goff
france,Lorient,2015,walid mesloub
france,Lorient,2015,wesley lautoa
france,Lorient,2015,yann jouffre
france,Lyon,2015,aboubakar kamara
france,Lyon,2015,alexandre lacazette
france,Lyon,2015,anthony lopes
france,Lyon,2015,arnold mvuemba
france,Lyon,2015,christophe jallet
france,Lyon,2015,clinton njie
france,Lyon,2015,corentin tolisso
france,Lyon,2015,henri bedimo
france,Lyon,2015,jordan ferri
france,Lyon,2015,lindsay rose
france,Lyon,2015,maxime gonalons
france,Lyon,2015,mehdi zeffane
france,Lyon,2015,mohamed yattara
france,Lyon,2015,mouhamadou dabo
france,Lyon,2015,nabil fekir
france,Lyon,2015,rachid ghezzal
france,Lyon,2015,samuel umtiti
france,Lyon,2015,steed malbranque
france,Lyon,2015,vincent le goff
france,Lyon,2015,yassine benzia
france,Lyon,2015,yoann gourcuff
germany,Mainz,2015,christoph moritz
germany,Mainz,2015,daniel brosinski
germany,Mainz,2015,gonzalo jara
germany,Mainz,2015,jairo
germany,Mainz,2015,johannes geis
germany,Mainz,2015,jonas hofmann
germany,Mainz,2015,julian baumgartlinger
germany,Mainz,2015,loris karius
germany,Mainz,2015,marc stendera
germany,Mainz,2015,niko bungert
germany,Mainz,2015,philipp wollscheid
germany,Mainz,2015,sami allagui
germany,Mainz,2015,shinji okazaki
germany,Mainz,2015,stefan bell
spain,Malaga,2015,arthur boka
spain,Malaga,2015,bruno zuculini
spain,Malaga,2015,douglas
spain,Malaga,2015,duda
spain,Malaga,2015,juanmi
spain,Malaga,2015,luis alberto
spain,Malaga,2015,marcos angeleri
spain,Malaga,2015,miguel torres
spain,Malaga,2015,nabil el zhar
spain,Malaga,2015,nordin amrabat
spain,Malaga,2015,recio
spain,Malaga,2015,ricardo horta
spain,Malaga,2015,roberto rosales
spain,Malaga,2015,roque santa cruz
spain,Malaga,2015,samu castillejo
spain,Malaga,2015,sergi darder
england,Manchester City,2015,aleksandar kolarov
england,Manchester City,2015,bacary sagna
england,Manchester City,2015,david silva
england,Manchester City,2015,eliaquim mangala
england,Manchester City,2015,emre can
england,Manchester City,2015,fernandinho
england,Manchester City,2015,fernando
england,Manchester City,2015,james milner
england,Manchester City,2015,joe hart
england,Manchester City,2015,pablo zabaleta
england,Manchester City,2015,samir nasri
england,Manchester City,2015,vincent kompany
england,Manchester Utd,2015,adnan januzaj
england,Manchester Utd,2015,ander herrera
england,Manchester Utd,2015,antonio valencia
england,Manchester Utd,2015,ashley young
england,Manchester Utd,2015,bryan oviedo
england,Manchester Utd,2015,chris smalling
england,Manchester Utd,2015,daley blind
england,Manchester Utd,2015,darren fletcher
england,Manchester Utd,2015,diego poyet
england,Manchester Utd,2015,falcao
england,Manchester Utd,2015,james wilson
england,Manchester Utd,2015,jesse lingard
england,Manchester Utd,2015,jonny evans
england,Manchester Utd,2015,juan mata
england,Manchester Utd,2015,luke shaw
england,Manchester Utd,2015,marcos rojo
england,Manchester Utd,2015,marouane fellaini
england,Manchester Utd,2015,michael keane
england,Manchester Utd,2015,nani
england,Manchester Utd,2015,phil jones
england,Manchester Utd,2015,rafael
england,Manchester Utd,2015,robin van persie
england,Manchester Utd,2015,tyler blackett
england,Manchester Utd,2015,wayne rooney
france,Marseille,2015,benjamin leroy
france,Marseille,2015,benjamin mendy
france,Marseille,2015,dimitri payet
france,Marseille,2015,florian thauvin
france,Marseille,2015,mario lemina
france,Marseille,2015,michy batshuayi
france,Marseille,2015,nicolas nkoulou
france,Marseille,2015,rod fanni
france,Marseille,2015,romain alessandrini
france,Marseille,2015,steve mandanda
france,Metz,2015,ahmed kashi
france,Metz,2015,bouna sarr
france,Metz,2015,federico andrada
france,Metz,2015,guido milan
france,Metz,2015,johann carrasso
france,Metz,2015,kevin lejeune
france,Metz,2015,rachid ghezzal
france,Metz,2015,yeni ngbakoto
france,Montpellier,2015,abdelhamid el kaoutari
france,Montpellier,2015,anthony mounier
france,Montpellier,2015,benjamin stambouli
france,Montpellier,2015,dylan gissi
france,Montpellier,2015,geoffrey jourdren
france,Montpellier,2015,hilton
france,Montpellier,2015,jamel saihi
france,Montpellier,2015,jonas martin
france,Montpellier,2015,joris marveaux
france,Montpellier,2015,mathieu deplagne
france,Montpellier,2015,morgan sanson
france,Montpellier,2015,paul lasne
france,Montpellier,2015,souleymane camara
france,Nantes,2015,alejandro bedoya
france,Nantes,2015,chaker alhadhur
france,Nantes,2015,fernando aristeguieta
france,Nantes,2015,issa cissokho
france,Nantes,2015,jordan veretout
france,Nantes,2015,kian hansen
france,Nantes,2015,lucas deaux
france,Nantes,2015,olivier veigneau
france,Nantes,2015,oswaldo vizcarrondo
france,Nantes,2015,papy djilobodji
france,Nantes,2015,vincent bessat
france,Nantes,2015,yacine bammou
italy,Napoli,2015,antonino ragusa
italy,Napoli,2015,christian maggio
italy,Napoli,2015,dries mertens
italy,Napoli,2015,faouzi ghoulam
italy,Napoli,2015,jorginho
italy,Napoli,2015,kalidou koulibaly
italy,Napoli,2015,lorenzo insigne
italy,Napoli,2015,michu
italy,Napoli,2015,walter gargano
england,Newcastle,2015,ashley richards
england,Newcastle,2015,daryl janmaat
england,Newcastle,2015,fabricio coloccini
england,Newcastle,2015,gabriel obertan
england,Newcastle,2015,jack colback
england,Newcastle,2015,moussa sissoko
england,Newcastle,2015,paul dummett
england,Newcastle,2015,rolando aarons
england,Newcastle,2015,sammy ameobi
england,Newcastle,2015,siem de jong
england,Newcastle,2015,tim krul
england,Newcastle,2015,vurnon anita
england,Newcastle,2015,yoan gouffran
france,Nice,2015,albert rafetraniaina
france,Nice,2015,alexy bosetti
france,Nice,2015,carlos eduardo
france,Nice,2015,didier digard
france,Nice,2015,franck honorat
france,Nice,2015,jordan amavi
france,Nice,2015,kevin gomis
france,Nice,2015,lloyd palun
france,Nice,2015,mathieu bodmer
france,Nice,2015,mouez hassen
france,Nice,2015,nampalys mendy
france,Nice,2015,neal maupay
france,Nice,2015,niklas hult
france,Nice,2015,romain genevois
france,Nice,2015,valentin eysseric
france,Nice,2015,wallace
france,Nice,2015,yann bodiger
italy,Palermo,2015,achraf lazaar
italy,Palermo,2015,andrea belotti
italy,Palermo,2015,claudio terzi
italy,Palermo,2015,edgar barreto
italy,Palermo,2015,emerson
italy,Palermo,2015,eros pisano
italy,Palermo,2015,faouzi ghoulam
italy,Palermo,2015,francesco bolzoni
italy,Palermo,2015,ivaylo chochev
italy,Palermo,2015,luca rigoni
italy,Palermo,2015,michel morganella
italy,Palermo,2015,paulo dybala
italy,Palermo,2015,robin quaison
italy,Palermo,2015,simon makienok
italy,Palermo,2015,stefano sorrentino
italy,Palermo,2015,zouhair feddal
france,Paris Saint-Germain,2015,blaise matuidi
france,Paris Saint-Germain,2015,david luiz
france,Paris Saint-Germain,2015,edinson cavani
france,Paris Saint-Germain,2015,ezequiel lavezzi
france,Paris Saint-Germain,2015,gregory van der wiel
france,Paris Saint-Germain,2015,javier pastore
france,Paris Saint-Germain,2015,lucas digne
france,Paris Saint-Germain,2015,marco verratti
france,Paris Saint-Germain,2015,marquinhos
france,Paris Saint-Germain,2015,maxwell
france,Paris Saint-Germain,2015,salvatore sirigu
france,Paris Saint-Germain,2015,serge aurier
france,Paris Saint-Germain,2015,thiago motta
france,Paris Saint-Germain,2015,yohan cabaye
italy,Parma,2015,afriyie acquah
italy,Parma,2015,andrea costa
italy,Parma,2015,andrea rispoli
italy,Parma,2015,antonio mirante
italy,Parma,2015,armando izzo
italy,Parma,2015,felipe
italy,Parma,2015,gabriel paletta
italy,Parma,2015,ishak belfodil
italy,Parma,2015,jonathan biabiany
italy,Parma,2015,luca garritano
italy,Parma,2015,massimo coda
italy,Parma,2015,massimo gobbi
italy,Parma,2015,mattia cassani
italy,Parma,2015,paolo de ceglie
italy,Parma,2015,pedro mendes
italy,Parma,2015,raffaele palladino
italy,Parma,2015,soufiane bidaoui
england,QPR,2015,adel taarabt
england,QPR,2015,alex bruce
england,QPR,2015,charlie austin
england,QPR,2015,clint hill
england,QPR,2015,eduardo vargas
england,QPR,2015,joey barton
england,QPR,2015,jordon mutch
england,QPR,2015,junior hoilett
england,QPR,2015,karl henry
england,QPR,2015,leroy fer
england,QPR,2015,mauricio isla
england,QPR,2015,nedum onuoha
england,QPR,2015,sandro
england,QPR,2015,steven caulker
spain,Rayo Vallecano,2015,abdoulaye ba
spain,Rayo Vallecano,2015,claudio bravo
spain,Rayo Vallecano,2015,javier aquino
spain,Rayo Vallecano,2015,jonathan pereira
spain,Rayo Vallecano,2015,leo baptistao
spain,Rayo Vallecano,2015,manucho
spain,Rayo Vallecano,2015,quini
spain,Rayo Vallecano,2015,tito
spain,Real Madrid,2015,cristiano ronaldo
spain,Real Madrid,2015,gareth bale
spain,Real Madrid,2015,isco
spain,Real Madrid,2015,karim benzema
spain,Real Madrid,2015,marcelo
spain,Real Madrid,2015,nacho
spain,Real Madrid,2015,pepe
spain,Real Madrid,2015,sami khedira
spain,Real Madrid,2015,sergio ramos
spain,Real Madrid,2015,toni kroos
spain,Real Sociedad,2015,carlos vela
spain,Real Sociedad,2015,gonzalo castro
spain,Real Sociedad,2015,iago aspas
spain,Real Sociedad,2015,markel bergara
spain,Real Sociedad,2015,mikel gonzalez
spain,Real Sociedad,2015,reyes
spain,Real Sociedad,2015,sami khedira
spain,Real Sociedad,2015,xabi prieto
spain,Real Sociedad,2015,yuri
germany,SC Freiburg,2015,admir mehmedi
germany,SC Freiburg,2015,dani schahin
germany,SC Freiburg,2015,felix klaus
germany,SC Freiburg,2015,jonathan schmid
germany,SC Freiburg,2015,julian schuster
germany,SC Freiburg,2015,maximilian philipp
germany,SC Freiburg,2015,mike frantz
germany,SC Freiburg,2015,oliver sorg
germany,SC Freiburg,2015,philipp zulechner
germany,SC Freiburg,2015,sascha riether
germany,SC Freiburg,2015,sebastian kerk
germany,SC Paderborn,2015,alban meha
germany,SC Paderborn,2015,elias kachunga
germany,SC Paderborn,2015,idir ouali
germany,SC Paderborn,2015,jens wemmer
germany,SC Paderborn,2015,lukas rupp
germany,SC Paderborn,2015,marvin bakalorz
germany,SC Paderborn,2015,michael heinloth
germany,SC Paderborn,2015,moritz stoppelkamp
germany,SC Paderborn,2015,patrick ziegler
germany,SC Paderborn,2015,stefan kutschke
italy,Sampdoria,2015,alessio romagnoli
italy,Sampdoria,2015,angelo palombo
italy,Sampdoria,2015,daniele gastaldello
italy,Sampdoria,2015,djamel mesbah
italy,Sampdoria,2015,eder
italy,Sampdoria,2015,emiliano viviano
italy,Sampdoria,2015,fabrizio cacciatore
italy,Sampdoria,2015,francesco fedato
italy,Sampdoria,2015,gennaro sardo
italy,Sampdoria,2015,gianluca sansone
italy,Sampdoria,2015,gonzalo bergessio
italy,Sampdoria,2015,lorenzo de silvestri
italy,Sampdoria,2015,luca rizzo
italy,Sampdoria,2015,manolo gabbiadini
italy,Sampdoria,2015,marco marchionni
italy,Sampdoria,2015,pedro obiang
italy,Sampdoria,2015,roberto soriano
italy,Sampdoria,2015,sergio pellissier
italy,Sampdoria,2015,stefano okaka
italy,Sampdoria,2015,vasco regini
italy,Sassuolo,2015,alessandro longhi
italy,Sassuolo,2015,andrea consigli
italy,Sassuolo,2015,antonio floro flores
italy,Sassuolo,2015,davide biondini
italy,Sassuolo,2015,domenico berardi
italy,Sassuolo,2015,emanuele terranova
italy,Sassuolo,2015,federico peluso
italy,Sassuolo,2015,francesco acerbi
italy,Sassuolo,2015,francesco magnanelli
italy,Sassuolo,2015,ibrahima mbaye
italy,Sassuolo,2015,leonardo pavoletti
italy,Sassuolo,2015,lorenzo ariaudo
italy,Sassuolo,2015,luca antei
italy,Sassuolo,2015,marcello gazzola
italy,Sassuolo,2015,matteo brighi
italy,Sassuolo,2015,nicola sansone
italy,Sassuolo,2015,paolo cannavaro
italy,Sassuolo,2015,sergio floccari
italy,Sassuolo,2015,simone missiroli
italy,Sassuolo,2015,simone zaza
germany,Schalke 04,2015,atsuto uchida
germany,Schalke 04,2015,christian clemens
germany,Schalke 04,2015,christian fuchs
germany,Schalke 04,2015,dennis aogo
germany,Schalke 04,2015,edgar prib
germany,Schalke 04,2015,jan kirchhoff
germany,Schalke 04,2015,joel matip
germany,Schalke 04,2015,julian draxler
germany,Schalke 04,2015,kaan ayhan
germany,Schalke 04,2015,marvin friedrich
germany,Schalke 04,2015,max meyer
germany,Schalke 04,2015,sidney sam
germany,Schalke 04,2015,tranquillo barnetta
spain,Sevilla,2015,aleix vidal
spain,Sevilla,2015,beto
spain,Sevilla,2015,carlos bacca
spain,Sevilla,2015,coke
spain,Sevilla,2015,diogo figueiras
spain,Sevilla,2015,fernando navarro
spain,Sevilla,2015,grzegorz krychowiak
spain,Sevilla,2015,iago aspas
spain,Sevilla,2015,luismi
spain,Sevilla,2015,mariano barbosa
spain,Sevilla,2015,reyes
spain,Sevilla,2015,rodrigo de paul
spain,Sevilla,2015,sergio rico
spain,Sevilla,2015,vitolo
england,Southampton,2015,fraser forster
england,Southampton,2015,jack cork
england,Southampton,2015,lloyd isgrove
england,Southampton,2015,maya yoshida
england,Southampton,2015,morgan schneiderlin
england,Southampton,2015,nathaniel clyne
england,Southampton,2015,ravel morrison
england,Southampton,2015,ryan bertrand
england,Southampton,2015,shane long
england,Southampton,2015,steven davis
england,Southampton,2015,toby alderweireld
england,Southampton,2015,victor wanyama
france,St Etienne,2015,benjamin corgnet
france,St Etienne,2015,fabien lemoine
france,St Etienne,2015,florentin pogba
france,St Etienne,2015,franck tabanou
france,St Etienne,2015,jonathan brison
france,St Etienne,2015,max gradel
france,St Etienne,2015,renaud cohade
france,St Etienne,2015,ricky van wolfswinkel
france,St Etienne,2015,romain hamouma
france,St Etienne,2015,yohan mollo
france,Stade Rennes,2015,anders konradsen
france,Stade Rennes,2015,fallou diagne
france,Stade Rennes,2015,gelson fernandes
france,Stade Rennes,2015,kamil grosicki
france,Stade Rennes,2015,mexer
france,Stade Rennes,2015,ola toivonen
france,Stade Rennes,2015,pedro henrique
france,Stade Rennes,2015,philipp hosiner
france,Stade Rennes,2015,steve mandanda
france,Stade Rennes,2015,steven moreira
france,Stade Rennes,2015,sylvain armand
france,Stade Rennes,2015,vincent pajot
france,Stade de Reims,2015,antoine devaux
france,Stade de Reims,2015,benjamin moukandjo
france,Stade de Reims,2015,chris mavinga
france,Stade de Reims,2015,christopher glombard
france,Stade de Reims,2015,diego
france,Stade de Reims,2015,franck signorino
france,Stade de Reims,2015,michy batshuayi
france,Stade de Reims,2015,mohamed fofana
england,Stoke City,2015,ben hamer
england,Stoke City,2015,bojan
england,Stoke City,2015,charlie adam
england,Stoke City,2015,erik pieters
england,Stoke City,2015,glenn whelan
england,Stoke City,2015,jonathan walters
england,Stoke City,2015,leandro bacuna
england,Stoke City,2015,liam bridcutt
england,Stoke City,2015,marc muniesa
england,Stoke City,2015,marc wilson
england,Stoke City,2015,oussama assaidi
england,Stoke City,2015,peter crouch
england,Stoke City,2015,phil bardsley
england,Stoke City,2015,ryan shawcross
england,Stoke City,2015,stephen ireland
england,Stoke City,2015,steve sidwell
england,Stoke City,2015,victor moses
england,Sunderland,2015,billy jones
england,Sunderland,2015,connor wickham
england,Sunderland,2015,emanuele giaccherini
england,Sunderland,2015,jack rodwell
england,Sunderland,2015,jozy altidore
england,Sunderland,2015,lee cattermole
england,Sunderland,2015,liam bridcutt
england,Sunderland,2015,michael keane
england,Sunderland,2015,patrick van aanholt
england,Sunderland,2015,ricardo alvarez
england,Sunderland,2015,santiago vergini
england,Sunderland,2015,sebastian larsson
england,Sunderland,2015,steven fletcher
england,Sunderland,2015,vito mannone
england,Sunderland,2015,wes brown
england,Swansea,2015,ashley richards
england,Swansea,2015,ashley williams
england,Swansea,2015,gabriel obertan
england,Swansea,2015,jefferson montero
england,Swansea,2015,jesse lingard
england,Swansea,2015,jonjo shelvey
england,Swansea,2015,jordi amat
england,Swansea,2015,marouane fellaini
england,Swansea,2015,marvin emnes
england,Swansea,2015,mohamed salah
england,Swansea,2015,nani
england,Swansea,2015,nathan dyer
england,Swansea,2015,neil taylor
england,Swansea,2015,wayne routledge
england,Swansea,2015,wilfried bony
germany,TSG Hoffenheim,2015,andreas beck
germany,TSG Hoffenheim,2015,anthony modeste
germany,TSG Hoffenheim,2015,david abraham
germany,TSG Hoffenheim,2015,jannik vestergaard
germany,TSG Hoffenheim,2015,kevin volland
germany,TSG Hoffenheim,2015,oliver baumann
germany,TSG Hoffenheim,2015,pirmin schwegler
germany,TSG Hoffenheim,2015,roberto firmino
germany,TSG Hoffenheim,2015,sascha riether
germany,TSG Hoffenheim,2015,sebastian rudy
germany,TSG Hoffenheim,2015,shawn parker
germany,TSG Hoffenheim,2015,steven zuber
germany,TSG Hoffenheim,2015,sven schipplock
germany,TSG Hoffenheim,2015,tarik elyounoussi
germany,TSG Hoffenheim,2015,tobias strobl
italy,Torino,2015,alessandro gazzi
italy,Torino,2015,antonio nocerino
italy,Torino,2015,bruno peres
italy,Torino,2015,cesare bovo
italy,Torino,2015,cristian molinaro
italy,Torino,2015,daniele padelli
italy,Torino,2015,emiliano moretti
italy,Torino,2015,fabio quagliarella
italy,Torino,2015,giuseppe vives
italy,Torino,2015,kamil glik
italy,Torino,2015,marcelo larrondo
italy,Torino,2015,marco benassi
italy,Torino,2015,matteo darmian
italy,Torino,2015,omar el kaddouri
england,Tottenham,2015,aaron lennon
england,Tottenham,2015,andros townsend
england,Tottenham,2015,christian eriksen
england,Tottenham,2015,danny rose
england,Tottenham,2015,emmanuel adebayor
england,Tottenham,2015,eric dier
england,Tottenham,2015,erik lamela
england,Tottenham,2015,etienne capoue
england,Tottenham,2015,harry kane
england,Tottenham,2015,hugo lloris
england,Tottenham,2015,james collins
england,Tottenham,2015,jan vertonghen
england,Tottenham,2015,kyle naughton
england,Tottenham,2015,lewis holtby
england,Tottenham,2015,nabil bentaleb
england,Tottenham,2015,nacer chadli
england,Tottenham,2015,paulinho
england,Tottenham,2015,ryan mason
france,Toulouse,2015,abel aguilar
france,Toulouse,2015,adrien regattin
france,Toulouse,2015,anders konradsen
france,Toulouse,2015,etienne didot
france,Toulouse,2015,issiaga sylla
france,Toulouse,2015,marcel tisserand
france,Toulouse,2015,martin braithwaite
france,Toulouse,2015,pavle ninkov
france,Toulouse,2015,steeve yago
france,Toulouse,2015,tongo doumbia
france,Toulouse,2015,wissam ben yedder
france,Toulouse,2015,yann bodiger
france,Toulouse,2015,zacharie boucher
italy,Udinese,2015,allan
italy,Udinese,2015,bruno fernandes
italy,Udinese,2015,danilo
italy,Udinese,2015,diego novaretti
italy,Udinese,2015,emmanuel badu
italy,Udinese,2015,giampiero pinzi
italy,Udinese,2015,gianluigi buffon
italy,Udinese,2015,guilherme
italy,Udinese,2015,luis muriel
italy,Udinese,2015,nicola belmonte
italy,Udinese,2015,orestis karnezis
italy,Udinese,2015,panagiotis kone
italy,Udinese,2015,thomas heurtaux
spain,Valencia,2015,bruno zuculini
spain,Valencia,2015,carles gil
spain,Valencia,2015,diego alves
spain,Valencia,2015,filipe augusto
spain,Valencia,2015,ivi
spain,Valencia,2015,javi fuego
spain,Valencia,2015,luismi
spain,Valencia,2015,pablo piatti
spain,Valencia,2015,rodrigo
spain,Valencia,2015,rodrigo de paul
spain,Valencia,2015,shkodran mustafi
spain,Valencia,2015,sofiane feghouli
germany,VfB Stuttgart,2015,alexandru maxim
germany,VfB Stuttgart,2015,carlos gruezo
germany,VfB Stuttgart,2015,christian gentner
germany,VfB Stuttgart,2015,daniel didavi
germany,VfB Stuttgart,2015,daniel schwaab
germany,VfB Stuttgart,2015,florian klein
germany,VfB Stuttgart,2015,konstantin rausch
germany,VfB Stuttgart,2015,martin harnik
germany,VfB Stuttgart,2015,moritz leitner
germany,VfB Stuttgart,2015,oriol romeu
germany,VfB Stuttgart,2015,sven ulreich
germany,VfB Stuttgart,2015,thorsten kirschbaum
germany,VfB Stuttgart,2015,timo werner
germany,VfL Wolfsburg,2015,aaron hunt
germany,VfL Wolfsburg,2015,daniel caligiuri
germany,VfL Wolfsburg,2015,diego benaglio
germany,VfL Wolfsburg,2015,josuha guilavogui
germany,VfL Wolfsburg,2015,kevin de bruyne
germany,VfL Wolfsburg,2015,luiz gustavo
germany,VfL Wolfsburg,2015,maximilian arnold
germany,VfL Wolfsburg,2015,naldo
germany,VfL Wolfsburg,2015,nicklas bendtner
germany,VfL Wolfsburg,2015,robin knoche
germany,VfL Wolfsburg,2015,sebastian jung
germany,VfL Wolfsburg,2015,timm klose
germany,VfL Wolfsburg,2015,vieirinha
spain,Villarreal,2015,antonio rukavina
spain,Villarreal,2015,bruno
spain,Villarreal,2015,cani
spain,Villarreal,2015,denis cheryshev
spain,Villarreal,2015,gerard moreno
spain,Villarreal,2015,giovani dos santos
spain,Villarreal,2015,ikechukwu uche
spain,Villarreal,2015,jaume costa
spain,Villarreal,2015,jonathan dos santos
spain,Villarreal,2015,luciano vietto
spain,Villarreal,2015,manu trigueros
spain,Villarreal,2015,mateo musacchio
spain,Villarreal,2015,sergio asenjo
germany,Werder Bremen,2015,clemens fritz
germany,Werder Bremen,2015,david abraham
germany,Werder Bremen,2015,davie selke
germany,Werder Bremen,2015,eljero elia
germany,Werder Bremen,2015,felix kroos
germany,Werder Bremen,2015,fin bartels
germany,Werder Bremen,2015,franco di santo
germany,Werder Bremen,2015,luca caldirola
germany,Werder Bremen,2015,marnon busch
germany,Werder Bremen,2015,nils petersen
germany,Werder Bremen,2015,raphael wolf
germany,Werder Bremen,2015,sebastian langkamp
england,West Brom,2015,andre wisdom
england,West Brom,2015,ben foster
england,West Brom,2015,chris brunt
england,West Brom,2015,craig dawson
england,West Brom,2015,craig gardner
england,West Brom,2015,cristian gamboa
england,West Brom,2015,georgios samaras
england,West Brom,2015,graham dorrans
england,West Brom,2015,james morrison
england,West Brom,2015,jason davidson
england,West Brom,2015,joleon lescott
england,West Brom,2015,jonas olsson
england,West Brom,2015,nathaniel chalobah
england,West Brom,2015,paulinho
england,West Brom,2015,saido berahino
england,West Brom,2015,victor anichebe
england,West Ham,2015,aaron cresswell
england,West Ham,2015,alexandre song
england,West Ham,2015,andros townsend
england,West Ham,2015,barry bannan
england,West Ham,2015,carl jenkinson
england,West Ham,2015,diafra sakho
england,West Ham,2015,diego poyet
england,West Ham,2015,enner valencia
england,West Ham,2015,fabio borini
england,West Ham,2015,guy demel
england,West Ham,2015,hatem ben arfa
england,West Ham,2015,james collins
england,West Ham,2015,james tomkins
england,West Ham,2015,kevin nolan
england,West Ham,2015,lewis holtby
england,West Ham,2015,mark noble
england,West Ham,2015,morgan amalfitano
england,West Ham,2015,ravel morrison
england,West Ham,2015,robbie brady
england,West Ham,2015,stewart downing
england,West Ham,2015,winston reid
