Place,Team,GP,W,D,L,GF,GA,GD,P,Year,League
6,RSO,37,17,11,9,39,35,4,62,2021,Spanish La Liga
7,VIL,37,15,11,11,61,37,24,56,2021,Spanish La Liga
8,ATH,37,14,13,10,43,35,8,55,2021,Spanish La Liga
9,OSA,37,12,11,14,37,49,-12,47,2021,Spanish La Liga
10,CEL,37,12,10,15,43,41,2,46,2021,Spanish La Liga
11,VAL,37,10,15,12,46,53,-7,45,2021,Spanish La Liga
12,RAY,37,11,9,17,37,46,-9,42,2021,Spanish La Liga
13,ESP,37,10,11,16,40,53,-13,41,2021,Spanish La Liga
14,GET,37,8,15,14,32,38,-6,39,2021,Spanish La Liga
15,ELC,37,10,9,18,37,51,-14,39,2021,Spanish La Liga
16,GCF,37,8,13,16,44,61,-17,37,2021,Spanish La Liga
17,MAL,37,9,9,19,34,63,-29,36,2021,Spanish La Liga
18,CAD,37,7,15,15,34,51,-17,36,2021,Spanish La Liga
19,LEV,37,7,11,19,47,74,-27,32,2021,Spanish La Liga
20,ALV,37,8,7,22,31,64,-33,31,2021,Spanish La Liga
1,MUN,27,15,4,8,0,0,0,49,2000,German Bundesliga
2,DOR,27,14,6,7,0,0,0,48,2000,German Bundesliga
3,SCHA,27,13,7,7,0,0,0,46,2000,German Bundesliga
4,LEV,27,14,4,9,0,0,0,46,2000,German Bundesliga
5,HERT,27,15,1,11,0,0,0,46,2000,German Bundesliga
6,FCK,27,14,4,9,0,0,0,46,2000,German Bundesliga
7,COL,27,11,7,9,0,0,0,40,2000,German Bundesliga
8,WER,27,11,7,9,0,0,0,40,2000,German Bundesliga
9,WOB,27,10,9,8,0,0,0,39,2000,German Bundesliga
10,FREI,27,10,9,8,0,0,0,39,2000,German Bundesliga
11,HAN,27,10,4,13,0,0,0,34,2000,German Bundesliga
12,TSV,27,9,7,11,0,0,0,34,2000,German Bundesliga
13,HSV,27,9,6,12,0,0,0,33,2000,German Bundesliga
14,COT,27,9,2,16,0,0,0,29,2000,German Bundesliga
15,SGE,27,8,5,14,0,0,0,29,2000,German Bundesliga
16,Unterhaching,27,7,8,12,0,0,0,29,2000,German Bundesliga
17,VFB,27,6,9,12,0,0,0,27,2000,German Bundesliga
18,BOC,27,6,5,16,0,0,0,23,2000,German Bundesliga
1,DOR,34,21,7,6,62,33,29,70,2001,German Bundesliga
2,LEV,34,21,6,7,77,38,39,69,2001,German Bundesliga
3,MUN,34,20,8,6,65,25,40,68,2001,German Bundesliga
4,HERT,34,18,7,9,61,38,23,61,2001,German Bundesliga
5,SCHA,34,18,7,9,52,36,16,61,2001,German Bundesliga
6,WER,34,17,5,12,54,43,11,56,2001,German Bundesliga
7,FCK,34,17,5,12,62,53,9,56,2001,German Bundesliga
8,VFB,34,13,11,10,47,43,4,50,2001,German Bundesliga
9,TSV,34,15,5,14,59,59,0,50,2001,German Bundesliga
10,WOB,34,13,7,14,57,49,8,46,2001,German Bundesliga
11,HSV,34,10,10,14,51,57,-6,40,2001,German Bundesliga
12,MON,34,9,12,13,41,53,-12,39,2001,German Bundesliga
13,COT,34,9,8,17,36,60,-24,35,2001,German Bundesliga
14,HAN,34,9,7,18,35,54,-19,34,2001,German Bundesliga
15,NUR,34,10,4,20,34,57,-23,34,2001,German Bundesliga
16,FREI,34,7,9,18,37,64,-27,30,2001,German Bundesliga
17,COL,34,7,8,19,26,61,-35,29,2001,German Bundesliga
18,STP,34,4,10,20,37,70,-33,22,2001,German Bundesliga
1,MUN,34,23,6,5,70,25,45,75,2002,German Bundesliga
2,VFB,34,17,8,9,53,39,14,59,2002,German Bundesliga
3,DOR,34,15,13,6,51,27,24,58,2002,German Bundesliga
4,HSV,34,15,11,8,46,36,10,56,2002,German Bundesliga
5,HERT,34,16,6,12,52,43,9,54,2002,German Bundesliga
6,WER,34,16,4,14,51,50,1,52,2002,German Bundesliga
7,SCHA,34,12,13,9,46,40,6,49,2002,German Bundesliga
8,WOB,34,13,7,14,39,42,-3,46,2002,German Bundesliga
9,BOC,34,12,9,13,55,56,-1,45,2002,German Bundesliga
10,TSV,34,12,9,13,44,52,-8,45,2002,German Bundesliga
11,HAN,34,12,7,15,47,57,-10,43,2002,German Bundesliga
12,MON,34,11,9,14,43,45,-2,42,2002,German Bundesliga
13,HAN,34,11,8,15,35,41,-6,41,2002,German Bundesliga
14,FCK,34,10,10,14,40,42,-2,40,2002,German Bundesliga
15,LEV,34,11,7,16,47,56,-9,40,2002,German Bundesliga
16,DSC,34,8,12,14,35,46,-11,36,2002,German Bundesliga
17,NUR,34,8,6,20,33,60,-27,30,2002,German Bundesliga
18,COT,34,7,9,18,34,64,-30,30,2002,German Bundesliga
1,WER,34,22,8,4,79,38,41,74,2003,German Bundesliga
2,MUN,34,20,8,6,70,39,31,68,2003,German Bundesliga
3,LEV,34,19,8,7,73,39,34,65,2003,German Bundesliga
4,VFB,34,18,10,6,52,24,28,64,2003,German Bundesliga
5,BOC,34,15,11,8,57,39,18,56,2003,German Bundesliga
6,DOR,34,16,7,11,59,48,11,55,2003,German Bundesliga
7,SCHA,34,13,11,10,49,42,7,50,2003,German Bundesliga
8,HSV,34,14,7,13,47,60,-13,49,2003,German Bundesliga
9,HAN,34,12,8,14,55,54,1,44,2003,German Bundesliga
10,WOB,34,13,3,18,56,61,-5,42,2003,German Bundesliga
11,MON,34,10,9,15,40,49,-9,39,2003,German Bundesliga
12,HERT,34,9,12,13,42,59,-17,39,2003,German Bundesliga
13,FREI,34,10,8,16,42,67,-25,38,2003,German Bundesliga
14,HAN,34,9,10,15,49,63,-14,37,2003,German Bundesliga
15,FCK,34,11,6,17,39,62,-23,36,2003,German Bundesliga
16,SGE,34,9,5,20,36,53,-17,32,2003,German Bundesliga
17,TSV,34,8,8,18,32,55,-23,32,2003,German Bundesliga
18,COL,34,6,5,23,32,57,-25,23,2003,German Bundesliga
1,MUN,34,24,5,5,75,33,42,77,2004,German Bundesliga
2,SCHA,34,20,3,11,56,46,10,63,2004,German Bundesliga
3,WER,34,18,5,11,68,37,31,59,2004,German Bundesliga
4,HERT,34,15,13,6,59,31,28,58,2004,German Bundesliga
5,VFB,34,17,7,10,54,40,14,58,2004,German Bundesliga
6,LEV,34,16,9,9,65,44,21,57,2004,German Bundesliga
7,DOR,34,15,10,9,47,44,3,55,2004,German Bundesliga
8,HSV,34,16,3,15,55,50,5,51,2004,German Bundesliga
9,WOB,34,15,3,16,49,51,-2,48,2004,German Bundesliga
10,HAN,34,13,6,15,34,36,-2,45,2004,German Bundesliga
11,MAIN,34,12,7,15,50,55,-5,43,2004,German Bundesliga
12,FCK,34,12,6,16,43,52,-9,42,2004,German Bundesliga
13,DSC,34,11,7,16,37,49,-12,40,2004,German Bundesliga
14,NUR,34,10,8,16,55,63,-8,38,2004,German Bundesliga
15,MON,34,8,12,14,35,51,-16,36,2004,German Bundesliga
16,BOC,34,9,8,17,47,68,-21,35,2004,German Bundesliga
17,HAN,34,7,9,18,31,65,-34,30,2004,German Bundesliga
18,FREI,34,3,9,22,30,75,-45,18,2004,German Bundesliga
1,MUN,34,22,9,3,67,32,35,75,2005,German Bundesliga
2,WER,34,21,7,6,79,37,42,70,2005,German Bundesliga
3,HSV,34,21,5,8,53,30,23,68,2005,German Bundesliga
4,SCHA,34,16,13,5,47,31,16,61,2005,German Bundesliga
5,LEV,34,14,10,10,64,49,15,52,2005,German Bundesliga
6,HERT,34,12,12,10,52,48,4,48,2005,German Bundesliga
7,DOR,34,11,13,10,45,42,3,46,2005,German Bundesliga
8,NUR,34,12,8,14,49,51,-2,44,2005,German Bundesliga
9,VFB,34,9,16,9,37,39,-2,43,2005,German Bundesliga
10,MON,34,10,12,12,42,50,-8,42,2005,German Bundesliga
11,MAIN,34,9,11,14,46,47,-1,38,2005,German Bundesliga
12,HAN,34,7,17,10,43,47,-4,38,2005,German Bundesliga
13,DSC,34,10,7,17,32,47,-15,37,2005,German Bundesliga
14,SGE,34,9,9,16,42,51,-9,36,2005,German Bundesliga
15,WOB,34,7,13,14,33,55,-22,34,2005,German Bundesliga
16,FCK,34,8,9,17,47,71,-24,33,2005,German Bundesliga
17,COL,34,7,9,18,49,71,-22,30,2005,German Bundesliga
18,DUI,34,5,12,17,34,63,-29,27,2005,German Bundesliga
1,VFB,34,21,7,6,61,37,24,70,2006,German Bundesliga
2,SCHA,34,21,5,8,53,32,21,68,2006,German Bundesliga
3,WER,34,20,6,8,76,40,36,66,2006,German Bundesliga
4,MUN,34,18,6,10,55,40,15,60,2006,German Bundesliga
5,LEV,34,15,6,13,54,49,5,51,2006,German Bundesliga
6,NUR,34,11,15,8,43,32,11,48,2006,German Bundesliga
7,HSV,34,10,15,9,43,37,6,45,2006,German Bundesliga
8,BOC,34,13,6,15,49,50,-1,45,2006,German Bundesliga
9,DOR,34,12,8,14,41,43,-2,44,2006,German Bundesliga
10,HERT,34,12,8,14,50,55,-5,44,2006,German Bundesliga
11,HAN,34,12,8,14,41,50,-9,44,2006,German Bundesliga
12,DSC,34,11,9,14,47,49,-2,42,2006,German Bundesliga
13,COT,34,11,8,15,38,49,-11,41,2006,German Bundesliga
14,SGE,34,9,13,12,46,58,-12,40,2006,German Bundesliga
15,WOB,34,8,13,13,37,45,-8,37,2006,German Bundesliga
16,MAIN,34,8,10,16,34,57,-23,34,2006,German Bundesliga
17,AAC,34,9,7,18,46,70,-24,34,2006,German Bundesliga
18,MON,34,6,8,20,23,44,-21,26,2006,German Bundesliga
1,MUN,34,22,10,2,68,21,47,76,2007,German Bundesliga
2,WER,34,20,6,8,75,45,30,66,2007,German Bundesliga
3,SCHA,34,18,10,6,55,32,23,64,2007,German Bundesliga
4,HSV,34,14,12,8,47,26,21,54,2007,German Bundesliga
5,WOB,34,15,9,10,58,46,12,54,2007,German Bundesliga
6,VFB,34,16,4,14,57,57,0,52,2007,German Bundesliga
7,LEV,34,15,6,13,57,40,17,51,2007,German Bundesliga
8,HAN,34,13,10,11,54,56,-2,49,2007,German Bundesliga
9,SGE,34,12,10,12,43,50,-7,46,2007,German Bundesliga
10,HERT,34,12,8,14,39,44,-5,44,2007,German Bundesliga
11,KAR,34,11,10,13,38,53,-15,43,2007,German Bundesliga
12,BOC,34,10,11,13,48,54,-6,41,2007,German Bundesliga
13,DOR,34,10,10,14,50,62,-12,40,2007,German Bundesliga
14,COT,34,9,9,16,35,56,-21,36,2007,German Bundesliga
15,DSC,34,8,10,16,35,60,-25,34,2007,German Bundesliga
16,NUR,34,7,10,17,35,51,-16,31,2007,German Bundesliga
17,HAN,34,8,6,20,30,52,-22,30,2007,German Bundesliga
18,DUI,34,8,5,21,36,55,-19,29,2007,German Bundesliga
1,WOB,34,21,6,7,80,41,39,69,2008,German Bundesliga
2,MUN,34,20,7,7,71,42,29,67,2008,German Bundesliga
3,VFB,34,19,7,8,63,43,20,64,2008,German Bundesliga
4,HERT,34,19,6,9,48,41,7,63,2008,German Bundesliga
5,HSV,34,19,4,11,49,47,2,61,2008,German Bundesliga
6,DOR,34,15,14,5,60,37,23,59,2008,German Bundesliga
7,HOF,34,15,10,9,63,49,14,55,2008,German Bundesliga
8,SCHA,34,14,8,12,47,35,12,50,2008,German Bundesliga
9,LEV,34,14,7,13,59,46,13,49,2008,German Bundesliga
10,WER,34,12,9,13,64,50,14,45,2008,German Bundesliga
11,HAN,34,10,10,14,49,69,-20,40,2008,German Bundesliga
12,COL,34,11,6,17,35,50,-15,39,2008,German Bundesliga
13,SGE,34,8,9,17,39,60,-21,33,2008,German Bundesliga
14,BOC,34,7,11,16,39,55,-16,32,2008,German Bundesliga
15,MON,34,8,7,19,39,62,-23,31,2008,German Bundesliga
16,COT,34,8,6,20,30,57,-27,30,2008,German Bundesliga
17,KAR,34,8,5,21,30,54,-24,29,2008,German Bundesliga
18,DSC,34,4,16,14,29,56,-27,28,2008,German Bundesliga
1,MUN,34,20,10,4,72,31,41,70,2009,German Bundesliga
2,SCHA,34,19,8,7,53,31,22,65,2009,German Bundesliga
3,WER,34,17,10,7,71,40,31,61,2009,German Bundesliga
4,LEV,34,15,14,5,65,38,27,59,2009,German Bundesliga
5,DOR,34,16,9,9,54,42,12,57,2009,German Bundesliga
6,VFB,34,15,10,9,51,41,10,55,2009,German Bundesliga
7,HSV,34,13,13,8,56,41,15,52,2009,German Bundesliga
8,WOB,34,14,8,12,64,58,6,50,2009,German Bundesliga
9,MAIN,34,12,11,11,36,42,-6,47,2009,German Bundesliga
10,SGE,34,12,10,12,47,54,-7,46,2009,German Bundesliga
11,HOF,34,11,9,14,44,42,2,42,2009,German Bundesliga
12,MON,34,10,9,15,43,60,-17,39,2009,German Bundesliga
13,COL,34,9,11,14,33,42,-9,38,2009,German Bundesliga
14,FREI,34,9,8,17,35,59,-24,35,2009,German Bundesliga
15,HAN,34,9,6,19,43,67,-24,33,2009,German Bundesliga
16,NUR,34,8,7,19,32,58,-26,31,2009,German Bundesliga
17,BOC,34,6,10,18,33,64,-31,28,2009,German Bundesliga
18,HERT,34,5,9,20,34,56,-22,24,2009,German Bundesliga
1,DOR,34,23,6,5,67,22,45,75,2010,German Bundesliga
2,LEV,34,20,8,6,64,44,20,68,2010,German Bundesliga
3,MUN,34,19,8,7,81,40,41,65,2010,German Bundesliga
4,HAN,34,19,3,12,49,45,4,60,2010,German Bundesliga
5,MAIN,34,18,4,12,52,39,13,58,2010,German Bundesliga
6,NUR,34,13,8,13,47,45,2,47,2010,German Bundesliga
7,FCK,34,13,7,14,48,51,-3,46,2010,German Bundesliga
8,HSV,34,12,9,13,46,52,-6,45,2010,German Bundesliga
9,FREI,34,13,5,16,41,50,-9,44,2010,German Bundesliga
10,COL,34,13,5,16,47,62,-15,44,2010,German Bundesliga
11,HOF,34,11,10,13,50,50,0,43,2010,German Bundesliga
12,VFB,34,12,6,16,60,59,1,42,2010,German Bundesliga
13,WER,34,10,11,13,47,61,-14,41,2010,German Bundesliga
14,SCHA,34,11,7,16,38,44,-6,40,2010,German Bundesliga
15,WOB,34,9,11,14,43,48,-5,38,2010,German Bundesliga
16,MON,34,10,6,18,48,65,-17,36,2010,German Bundesliga
17,SGE,34,9,7,18,31,49,-18,34,2010,German Bundesliga
18,STP,34,8,5,21,35,68,-33,29,2010,German Bundesliga
1,DOR,34,25,6,3,80,25,55,81,2011,German Bundesliga
2,MUN,34,23,4,7,77,22,55,73,2011,German Bundesliga
3,SCHA,34,20,4,10,74,44,30,64,2011,German Bundesliga
4,MON,34,17,9,8,49,24,25,60,2011,German Bundesliga
5,LEV,34,15,9,10,52,44,8,54,2011,German Bundesliga
6,VFB,34,15,8,11,63,46,17,53,2011,German Bundesliga
7,HAN,34,12,12,10,41,45,-4,48,2011,German Bundesliga
8,WOB,34,13,5,16,47,60,-13,44,2011,German Bundesliga
9,WER,34,11,9,14,49,58,-9,42,2011,German Bundesliga
10,NUR,34,12,6,16,38,49,-11,42,2011,German Bundesliga
11,HOF,34,10,11,13,41,47,-6,41,2011,German Bundesliga
12,FREI,34,10,10,14,45,61,-16,40,2011,German Bundesliga
13,MAIN,34,9,12,13,47,51,-4,39,2011,German Bundesliga
14,AUG,34,8,14,12,36,49,-13,38,2011,German Bundesliga
15,HSV,34,8,12,14,35,57,-22,36,2011,German Bundesliga
16,HERT,34,7,10,17,38,64,-26,31,2011,German Bundesliga
17,COL,34,8,6,20,39,75,-36,30,2011,German Bundesliga
18,FCK,34,4,11,19,24,54,-30,23,2011,German Bundesliga
1,MUN,34,29,4,1,98,18,80,91,2012,German Bundesliga
2,DOR,34,19,9,6,81,42,39,66,2012,German Bundesliga
3,LEV,34,19,8,7,65,39,26,65,2012,German Bundesliga
4,SCHA,34,16,7,11,58,50,8,55,2012,German Bundesliga
5,FREI,34,14,9,11,45,40,5,51,2012,German Bundesliga
6,SGE,34,14,9,11,49,46,3,51,2012,German Bundesliga
7,HSV,34,14,6,14,42,53,-11,48,2012,German Bundesliga
8,MON,34,12,11,11,45,49,-4,47,2012,German Bundesliga
9,HAN,34,13,6,15,60,62,-2,45,2012,German Bundesliga
10,NUR,34,11,11,12,39,47,-8,44,2012,German Bundesliga
11,WOB,34,10,13,11,47,52,-5,43,2012,German Bundesliga
12,VFB,34,12,7,15,37,55,-18,43,2012,German Bundesliga
13,MAIN,34,10,12,12,42,44,-2,42,2012,German Bundesliga
14,WER,34,8,10,16,50,66,-16,34,2012,German Bundesliga
15,AUG,34,8,9,17,33,51,-18,33,2012,German Bundesliga
16,HOF,34,8,7,19,42,67,-25,31,2012,German Bundesliga
17,FOR,34,7,9,18,39,57,-18,30,2012,German Bundesliga
18,FUR,34,4,9,21,26,60,-34,21,2012,German Bundesliga
1,MUN,34,29,3,2,94,23,71,90,2013,German Bundesliga
2,DOR,34,22,5,7,80,38,42,71,2013,German Bundesliga
3,SCHA,34,19,7,8,63,43,20,64,2013,German Bundesliga
4,LEV,34,19,4,11,60,41,19,61,2013,German Bundesliga
5,WOB,34,18,6,10,63,50,13,60,2013,German Bundesliga
6,MON,34,16,7,11,59,43,16,55,2013,German Bundesliga
7,MAIN,34,16,5,13,52,54,-2,53,2013,German Bundesliga
8,AUG,34,15,7,12,47,47,0,52,2013,German Bundesliga
9,HOF,34,11,11,12,72,70,2,44,2013,German Bundesliga
10,HAN,34,12,6,16,46,59,-13,42,2013,German Bundesliga
11,HERT,34,11,8,15,40,48,-8,41,2013,German Bundesliga
12,WER,34,10,9,15,42,66,-24,39,2013,German Bundesliga
13,SGE,34,9,9,16,40,57,-17,36,2013,German Bundesliga
14,FREI,34,9,9,16,43,61,-18,36,2013,German Bundesliga
15,VFB,34,8,8,18,49,62,-13,32,2013,German Bundesliga
16,HSV,34,7,6,21,51,75,-24,27,2013,German Bundesliga
17,NUR,34,5,11,18,37,70,-33,26,2013,German Bundesliga
18,EBS,34,6,7,21,29,60,-31,25,2013,German Bundesliga
1,MUN,34,25,4,5,80,18,62,79,2014,German Bundesliga
2,WOB,34,20,9,5,72,38,34,69,2014,German Bundesliga
3,MON,34,19,9,6,53,26,27,66,2014,German Bundesliga
4,LEV,34,17,10,7,62,37,25,61,2014,German Bundesliga
5,AUG,34,15,4,15,43,43,0,49,2014,German Bundesliga
6,SCHA,34,13,9,12,42,40,2,48,2014,German Bundesliga
7,DOR,34,13,7,14,47,42,5,46,2014,German Bundesliga
8,HOF,34,12,8,14,49,55,-6,44,2014,German Bundesliga
9,SGE,34,11,10,13,56,62,-6,43,2014,German Bundesliga
10,WER,34,11,10,13,50,65,-15,43,2014,German Bundesliga
11,MAIN,34,9,13,12,45,47,-2,40,2014,German Bundesliga
12,COL,34,9,13,12,34,40,-6,40,2014,German Bundesliga
13,HAN,34,9,10,15,40,56,-16,37,2014,German Bundesliga
14,VFB,34,9,9,16,42,60,-18,36,2014,German Bundesliga
15,HERT,34,9,8,17,36,52,-16,35,2014,German Bundesliga
16,HSV,34,9,8,17,25,50,-25,35,2014,German Bundesliga
17,FREI,34,7,13,14,36,47,-11,34,2014,German Bundesliga
18,PAD,34,7,10,17,31,65,-34,31,2014,German Bundesliga
1,MUN,34,28,4,2,80,17,63,88,2015,German Bundesliga
2,DOR,34,24,6,4,82,34,48,78,2015,German Bundesliga
3,LEV,34,18,6,10,56,40,16,60,2015,German Bundesliga
4,MON,34,17,4,13,67,50,17,55,2015,German Bundesliga
5,SCHA,34,15,7,12,51,49,2,52,2015,German Bundesliga
6,MAIN,34,14,8,12,46,42,4,50,2015,German Bundesliga
7,HERT,34,14,8,12,42,42,0,50,2015,German Bundesliga
8,WOB,34,12,9,13,47,49,-2,45,2015,German Bundesliga
9,COL,34,10,13,11,38,42,-4,43,2015,German Bundesliga
10,HSV,34,11,8,15,40,46,-6,41,2015,German Bundesliga
11,ING,34,10,10,14,33,42,-9,40,2015,German Bundesliga
12,AUG,34,9,11,14,42,52,-10,38,2015,German Bundesliga
13,WER,34,10,8,16,50,65,-15,38,2015,German Bundesliga
14,DRM,34,9,11,14,38,53,-15,38,2015,German Bundesliga
15,HOF,34,9,10,15,39,54,-15,37,2015,German Bundesliga
16,SGE,34,9,9,16,34,52,-18,36,2015,German Bundesliga
17,VFB,34,9,6,19,50,75,-25,33,2015,German Bundesliga
18,HAN,34,7,4,23,31,62,-31,25,2015,German Bundesliga
1,MUN,34,25,7,2,89,22,67,82,2016,German Bundesliga
2,RBL,34,20,7,7,66,39,27,67,2016,German Bundesliga
3,DOR,34,18,10,6,72,40,32,64,2016,German Bundesliga
4,HOF,34,16,14,4,64,37,27,62,2016,German Bundesliga
5,COL,34,12,13,9,51,42,9,49,2016,German Bundesliga
6,HERT,34,15,4,15,43,47,-4,49,2016,German Bundesliga
7,FREI,34,14,6,14,42,60,-18,48,2016,German Bundesliga
8,WER,34,13,6,15,61,64,-3,45,2016,German Bundesliga
9,MON,34,12,9,13,45,49,-4,45,2016,German Bundesliga
10,SCHA,34,11,10,13,45,40,5,43,2016,German Bundesliga
11,SGE,34,11,9,14,36,43,-7,42,2016,German Bundesliga
12,LEV,34,11,8,15,53,55,-2,41,2016,German Bundesliga
13,AUG,34,9,11,14,35,51,-16,38,2016,German Bundesliga
14,HSV,34,10,8,16,33,61,-28,38,2016,German Bundesliga
15,MAIN,34,10,7,17,44,55,-11,37,2016,German Bundesliga
16,WOB,34,10,7,17,34,52,-18,37,2016,German Bundesliga
17,ING,34,8,8,18,36,57,-21,32,2016,German Bundesliga
18,DRM,34,7,4,23,28,63,-35,25,2016,German Bundesliga
1,MUN,34,27,3,4,92,28,64,84,2017,German Bundesliga
2,SCHA,34,18,9,7,53,37,16,63,2017,German Bundesliga
3,HOF,34,15,10,9,66,48,18,55,2017,German Bundesliga
4,DOR,34,15,10,9,64,47,17,55,2017,German Bundesliga
5,LEV,34,15,10,9,58,44,14,55,2017,German Bundesliga
6,RBL,34,15,8,11,57,53,4,53,2017,German Bundesliga
7,VFB,34,15,6,13,36,36,0,51,2017,German Bundesliga
8,SGE,34,14,7,13,45,45,0,49,2017,German Bundesliga
9,MON,34,13,8,13,47,52,-5,47,2017,German Bundesliga
10,HERT,34,10,13,11,43,46,-3,43,2017,German Bundesliga
11,WER,34,10,12,12,37,40,-3,42,2017,German Bundesliga
12,AUG,34,10,11,13,43,46,-3,41,2017,German Bundesliga
13,HAN,34,10,9,15,44,54,-10,39,2017,German Bundesliga
14,MAIN,34,9,9,16,38,52,-14,36,2017,German Bundesliga
15,FREI,34,8,12,14,32,56,-24,36,2017,German Bundesliga
16,WOB,34,6,15,13,36,48,-12,33,2017,German Bundesliga
17,HSV,34,8,7,19,29,53,-24,31,2017,German Bundesliga
18,COL,34,5,7,22,35,70,-35,22,2017,German Bundesliga
1,MUN,34,24,6,4,88,32,56,78,2018,German Bundesliga
2,DOR,34,23,7,4,81,44,37,76,2018,German Bundesliga
3,RBL,34,19,9,6,63,29,34,66,2018,German Bundesliga
4,LEV,34,18,4,12,69,52,17,58,2018,German Bundesliga
5,MON,34,16,7,11,55,42,13,55,2018,German Bundesliga
6,WOB,34,16,7,11,62,50,12,55,2018,German Bundesliga
7,SGE,34,15,9,10,60,48,12,54,2018,German Bundesliga
8,WER,34,14,11,9,58,49,9,53,2018,German Bundesliga
9,HOF,34,13,12,9,70,52,18,51,2018,German Bundesliga
10,FOR,34,13,5,16,49,65,-16,44,2018,German Bundesliga
11,HERT,34,11,10,13,49,57,-8,43,2018,German Bundesliga
12,MAIN,34,12,7,15,46,57,-11,43,2018,German Bundesliga
13,FREI,34,8,12,14,46,61,-15,36,2018,German Bundesliga
14,SCHA,34,8,9,17,37,55,-18,33,2018,German Bundesliga
15,AUG,34,8,8,18,51,71,-20,32,2018,German Bundesliga
16,VFB,34,7,7,20,32,70,-38,28,2018,German Bundesliga
17,HAN,34,5,6,23,31,71,-40,21,2018,German Bundesliga
18,NUR,34,3,10,21,26,68,-42,19,2018,German Bundesliga
1,MUN,34,26,4,4,100,32,68,82,2019,German Bundesliga
2,DOR,34,21,6,7,84,41,43,69,2019,German Bundesliga
3,RBL,34,18,12,4,81,37,44,66,2019,German Bundesliga
4,MON,34,20,5,9,66,40,26,65,2019,German Bundesliga
5,LEV,34,19,6,9,61,44,17,63,2019,German Bundesliga
6,HOF,34,15,7,12,53,53,0,52,2019,German Bundesliga
7,WOB,34,13,10,11,48,46,2,49,2019,German Bundesliga
8,FREI,34,13,9,12,48,47,1,48,2019,German Bundesliga
9,SGE,34,13,6,15,59,60,-1,45,2019,German Bundesliga
10,HERT,34,11,8,15,48,59,-11,41,2019,German Bundesliga
11,FCU,34,12,5,17,41,58,-17,41,2019,German Bundesliga
12,SCHA,34,9,12,13,38,58,-20,39,2019,German Bundesliga
13,MAIN,34,11,4,19,44,65,-21,37,2019,German Bundesliga
14,COL,34,10,6,18,51,69,-18,36,2019,German Bundesliga
15,AUG,34,9,9,16,45,63,-18,36,2019,German Bundesliga
16,WER,34,8,7,19,42,69,-27,31,2019,German Bundesliga
17,FOR,34,6,12,16,36,67,-31,30,2019,German Bundesliga
18,PAD,34,4,8,22,37,74,-37,20,2019,German Bundesliga
1,MUN,34,24,6,4,99,44,55,78,2020,German Bundesliga
2,RBL,34,19,8,7,60,32,28,65,2020,German Bundesliga
3,DOR,34,20,4,10,75,46,29,64,2020,German Bundesliga
4,WOB,34,17,10,7,61,37,24,61,2020,German Bundesliga
5,SGE,34,16,12,6,69,53,16,60,2020,German Bundesliga
6,LEV,34,14,10,10,53,39,14,52,2020,German Bundesliga
7,FCU,34,12,14,8,50,43,7,50,2020,German Bundesliga
8,MON,34,13,10,11,64,56,8,49,2020,German Bundesliga
9,VFB,34,12,9,13,56,55,1,45,2020,German Bundesliga
10,FREI,34,12,9,13,52,52,0,45,2020,German Bundesliga
11,HOF,34,11,10,13,52,54,-2,43,2020,German Bundesliga
12,MAIN,34,10,9,15,39,56,-17,39,2020,German Bundesliga
13,AUG,34,10,6,18,36,54,-18,36,2020,German Bundesliga
14,HERT,34,8,11,15,41,52,-11,35,2020,German Bundesliga
15,DSC,34,9,8,17,26,52,-26,35,2020,German Bundesliga
16,COL,34,8,9,17,34,60,-26,33,2020,German Bundesliga
17,WER,34,7,10,17,36,57,-21,31,2020,German Bundesliga
18,SCHA,34,3,7,24,25,86,-61,16,2020,German Bundesliga
1,MUN,34,24,5,5,97,37,60,77,2021,German Bundesliga
2,DOR,34,22,3,9,85,52,33,69,2021,German Bundesliga
3,LEV,34,19,7,8,80,47,33,64,2021,German Bundesliga
4,RBL,34,17,7,10,72,37,35,58,2021,German Bundesliga
5,FCU,34,16,9,9,50,44,6,57,2021,German Bundesliga
6,FREI,34,15,10,9,58,46,12,55,2021,German Bundesliga
7,COL,34,14,10,10,52,49,3,52,2021,German Bundesliga
8,MAIN,34,13,7,14,50,45,5,46,2021,German Bundesliga
9,HOF,34,13,7,14,58,60,-2,46,2021,German Bundesliga
10,MON,34,12,9,13,54,61,-7,45,2021,German Bundesliga
11,SGE,34,10,12,12,45,49,-4,42,2021,German Bundesliga
12,WOB,34,12,6,16,43,54,-11,42,2021,German Bundesliga
13,BOC,34,12,6,16,38,52,-14,42,2021,German Bundesliga
14,AUG,34,10,8,16,39,56,-17,38,2021,German Bundesliga
15,VFB,34,7,12,15,41,59,-18,33,2021,German Bundesliga
16,HERT,34,9,6,19,37,71,-34,33,2021,German Bundesliga
17,DSC,34,5,13,16,27,53,-26,28,2021,German Bundesliga
18,FUR,34,3,9,22,28,82,-54,18,2021,German Bundesliga
1,ROMA,24,18,4,2,0,0,0,58,2000,Italian Serie A
2,JUV,24,14,7,3,0,0,0,49,2000,Italian Serie A
3,LAZ,24,14,4,6,0,0,0,46,2000,Italian Serie A
4,PAR,24,11,7,6,0,0,0,40,2000,Italian Serie A
5,INT,24,10,7,7,0,0,0,37,2000,Italian Serie A
